variable,plev_index,category,n_models,median_mean,min_mean,max_mean,spread_mean,median_std,spread_in_sigmas,range_in_sigmas
huss,,2D state,20,0.010048608455167037,0.009212641713610099,0.0122719765141942,0.0009100155568877917,0.005958703745940125,0.15272038948199385,0.513422873669216
pr,,2D state,19,3.409920355688448e-05,3.261027750577486e-05,3.644149551604607e-05,1.0821709925343395e-06,6.265062933702076e-05,0.017273106495274675,0.06115210734215742
psl,,2D state,20,101134.39792110008,101058.543202826,101372.86820771576,63.76244135121359,1136.7971508070214,0.056089550634383735,0.27650052136972625
tas,,2D state,20,287.8149521298195,286.9256156402081,294.0593206323616,1.4762168362447787,15.300022848842035,0.0964846164498705,0.4662545319462338
hus,0.0,3D state,19,0.008820023948954476,0.008297938075965149,0.00945186833452125,0.00029917909031761044,0.0056900531407318,0.052579313921685605,0.202797799953006
hus,1.0,3D state,19,0.00610588174190985,0.0054418518068986,0.0065753062235875005,0.0002899293062119685,0.0041105425978043,0.07053309856631532,0.2757432600976693
hus,2.0,3D state,19,0.0032199331819967,0.0028891348274149,0.0034431073754510504,0.00015669481755316224,0.002692829448952,0.05818965535085967,0.20572136428905535
hus,3.0,3D state,19,0.0012140621551105333,0.0010231140988031001,0.0013939549267233,0.00010912131326327658,0.00126992966724065,0.085927052559044,0.29201682383401323
hus,4.0,3D state,19,8.513932058386121e-05,4.850445628543639e-05,0.00010743955673211667,1.6211315137627654e-05,8.789350726686143e-05,0.18444269254618562,0.6705284870217101
hus,5.0,3D state,19,2.6197750923834986e-06,9.261977179126614e-07,3.929793685427752e-06,6.950918455321476e-07,5.89586988549624e-07,1.1789470579092394,5.09440680654079
hus,6.0,3D state,19,2.468331893598815e-06,1.318075998511163e-06,3.5275990891542272e-06,5.009540748614168e-07,3.143739384964796e-07,1.593497467561315,7.028327797177777
hus,7.0,3D state,19,2.908113205542341e-06,2.1286010961259542e-06,3.5530465899247398e-06,3.8115576839581294e-07,2.876932360556907e-07,1.3248687164894974,4.951265150783893
ua,0.0,3D state,19,0.1797516197684839,-0.2867272745871064,0.46906002786722983,0.20098600049808085,7.144821637984716,0.028130303411572834,0.10578112943173698
ua,1.0,3D state,19,1.103438348834961,0.6997189512422924,1.3515882453640162,0.14798479350252294,8.056797465044188,0.018367694377894022,0.08090923185669886
ua,2.0,3D state,19,3.2204779680415334,2.8595430906202646,3.821595748426861,0.29215158118254697,8.866856534291259,0.032948720897050025,0.10849985607481068
ua,3.0,3D state,19,6.78169811705392,6.24466379801167,7.728834462561525,0.49036553365156454,11.480941678907277,0.042711264229524086,0.12927255499229345
ua,4.0,3D state,19,15.133693634921483,13.51980077982283,16.351250102723956,0.9113534139149355,18.00544435247639,0.05061543586896216,0.15725517612741952
ua,5.0,3D state,19,11.493013281286183,9.54835593891614,14.66992682953302,1.471517556015245,15.430252152702067,0.09536574914348113,0.3319175111289427
ua,6.0,3D state,19,3.7952269265890686,1.03089367053889,6.412848708546576,1.3788318285541803,16.415898575922977,0.08399368588792928,0.3278501638589155
ua,7.0,3D state,19,2.661367299462277,-2.288705626455156,7.004222156862134,2.460527953617303,24.764383846071883,0.09935752768618109,0.37525374509938925
va,0.0,3D state,19,0.08986493575978244,0.016685390196106674,0.14827674068963975,0.040743580890540525,5.381801128051612,0.007570621790198151,0.024451173011139013
va,1.0,3D state,19,0.05583351239780415,0.023320777053727253,0.0945987279113787,0.021229406919128835,5.215299413454022,0.0040706017499902054,0.013667087008230853
va,2.0,3D state,19,-0.0337778594197622,-0.0701150071760139,-0.0006714867303681,0.0194895794075694,5.5449058674560705,0.0035148620866508884,0.012523841180644889
va,3.0,3D state,19,-0.028924796860108418,-0.04811423336974735,-0.0032917169139100497,0.011957746406827145,7.287348624522442,0.0016408912243594995,0.006150730363716423
va,4.0,3D state,19,-0.0277621840812857,-0.08970019057230649,0.02338147403612607,0.031267788139849415,11.61880328344203,0.0026911367183924334,0.009732643014068874
va,5.0,3D state,19,0.0132325759859692,0.0065464060513718,0.04702944119630175,0.010356861715473325,6.947320411818846,0.0014907707002910268,0.005827143811599625
va,6.0,3D state,19,0.0067465486849703,0.000106226299429575,0.013996905584521532,0.003651069719920286,5.501779494277796,0.0006636161488692219,0.002524761179458238
va,7.0,3D state,19,0.005192641357265875,-0.019388041075369,0.0105651195188822,0.006905515912132161,8.023546700310057,0.0008606562870588525,0.0037331571327544853
zg,0.0,3D state,19,708.0799469508192,569.5060300734076,952.3727553556184,87.45461886119894,921.1452733154819,0.09494117963220196,0.41564206686330496
zg,1.0,3D state,19,1563.0935120856839,1543.2075978065784,1611.117930801744,23.080447320577083,554.8381688313343,0.04159852118536085,0.12239664970815974
zg,2.0,3D state,19,3080.8105952463393,3053.411542140722,3098.309003624219,12.97966374207061,342.59147056646356,0.03788671014082508,0.13105247894601843
zg,3.0,3D state,19,5663.618784636106,5618.884403209468,5693.314141411731,23.305605502825564,279.8667946704855,0.0832739215463754,0.265947013435076
zg,4.0,3D state,19,10554.89837232649,10439.570797703676,10612.718886156457,52.79023272277194,481.94987364138444,0.10953469563943238,0.3592657616954149
zg,5.0,3D state,19,16282.427164082239,16041.005669443895,16370.173539100795,99.07736791402766,471.45681096348704,0.21015152525116645,0.6981930518390428
zg,6.0,3D state,19,20493.301294041787,20157.69447153421,20610.977288933733,124.4579473112983,443.34665572141216,0.2807237760906998,1.0224117212792367
zg,7.0,3D state,19,30790.154739095364,30427.260356729534,31214.551149778566,232.91810514610432,686.4984928233393,0.3392842192386903,1.1468208616324391
ta_derived_layer_0,,derived layer T,19,280.19948110556595,277.6272349517129,281.93430820590004,1.1671717476320638,14.775812559228473,0.07899205156762007,0.29149484922892205
ta_derived_layer_1,,derived layer T,19,276.34152777913494,274.53027288178737,277.58655262470245,0.9163625734160862,13.06612698091148,0.07013268543576955,0.23390862092340367
ta_derived_layer_2,,derived layer T,19,265.44385013602323,263.0607887517403,268.02090540323087,1.522562454681327,12.076317456279808,0.12607837283124576,0.41073089287755254
ta_derived_layer_3,,derived layer T,19,241.0436493190421,237.52554097687263,242.6927738813598,1.5686436128286596,10.218573627938092,0.15350905810767065,0.5056706633066386
ta_derived_layer_4,,derived layer T,19,213.48824601603278,208.84434640630485,215.40177451300124,1.9176460042959458,5.326571339830237,0.36001507948583356,1.2310786223141776
ta_derived_layer_5,,derived layer T,19,207.0423189161644,202.90157265300692,210.22815826804242,1.7285533744630195,9.73414034693452,0.17757637684023903,0.7526689932452832
ta_derived_layer_6,,derived layer T,19,218.5954078573742,214.49637938867056,226.99504322508278,3.4884851171707263,6.778718890506272,0.5146230686828477,1.8438091383191657
hfls,,flux,19,85.35713272245658,81.45564030513606,91.18614203805562,2.7407668382833204,70.5108232400593,0.03887015797492787,0.13800011524176017
hfss,,flux,18,21.456033889446665,17.69640027111613,25.29503308329705,2.568318106100005,29.415507016415454,0.08731170619179685,0.25832064726745896
rlds,,flux,18,342.8751062468387,334.90943026378534,351.02987582738047,5.020986935160149,73.51465173656044,0.0682991324389707,0.21928207755595036
rlus,,flux,18,399.5509473702999,395.3557267173215,404.9221582545947,3.0413434724912447,75.72130543293103,0.040164963547611676,0.126337382624056
rlut,,flux,17,239.4434744734601,237.2720085684571,242.3148565872413,1.559071462245604,42.58142464700232,0.03661388681027516,0.11842835369152503
rsds,,flux,19,188.05413888677256,184.6483447211349,199.92149922777645,4.766816688991242,95.18708043144498,0.05007840000329002,0.1604540704202131
rsus,,flux,17,24.20976748250754,22.805168227680785,27.826819476147865,1.3470489767153357,37.254335472778784,0.036158180239172576,0.13479374104354458
siconc,,forcing,10,3.4573271773683163,1.7984097248197943,4.094157069186571,0.8978654386101625,16.951656420187106,0.05296623623995396,0.13542908654241337
ts,,forcing,22,288.5515407464411,287.8970120475865,289.42848458894434,0.44018809687369315,15.720332861337337,0.028001194424851772,0.09741985458363724
orog,,static,21,231.70539912250132,230.8403003378971,237.4089832993292,1.804975164798073,592.6476315129414,0.003045612719636185,0.011083623070699246
sftlf,,static,22,29.118441540646344,26.163024890026172,30.00438741310653,0.7332849260355271,42.15355220052919,0.017395566630949825,0.09112784860470514
sfcWind,,surface wind,19,6.312119214298969,5.8694527840694946,6.922485372724678,0.2333287330164783,3.4945781842315213,0.06676878315938686,0.3013332462861326
uas,,surface wind,15,-0.350562667453897,-1.398401781456533,-0.24265804626551168,0.2780746744948246,5.314660793858173,0.052322186736014915,0.21746331139828218
vas,,surface wind,15,0.1490262643753773,0.09682546155224439,0.2967142945261766,0.05023887847819402,4.24722422192134,0.011828638153572026,0.047063404833264814
