variable,source_id,experiment,variant_label,value,cohort_mean,z
psl,MIROC6,historical,r3i1p1f1,100847.41973420142,101137.32990516456,-4.670847247727779
psl,MIROC6,historical,r4i1p1f1,100847.888131072,101137.32990516456,-4.663300736936102
psl,MIROC6,historical,r5i1p1f1,100848.49067465625,101137.32990516456,-4.653592940094203
psl,MIROC6,historical,r1i1p1f1,100848.72541380767,101137.32990516456,-4.649810973025924
psl,MIROC6,ssp585,r1i1p1f1,100854.86322417748,101137.32990516456,-4.550922498097123
psl,MIROC6,ssp245,r1i1p1f1,100861.39689529217,101137.32990516456,-4.445656168039613
h500,EC-Earth3,ssp585,r1i1p1f1,5505.021337693204,5676.637591592631,-4.371060821936509
input4mips_so2,MIROC6,historical,r3i1p1f1,5.3786956644979865e-12,6.286973497188413e-12,-4.106552222914941
input4mips_so2,EC-Earth3-Veg-LR,historical,r2i1p1f1,5.5228826854888545e-12,6.286973497188413e-12,-3.454646484104134
psl,MIROC-ES2L,historical,r1i1p1f2,100933.6240539416,101137.32990516456,-3.281978384441626
